常数	值	描述
ERR_NO_ERROR	0	没有错误返回
ERR_NO_RESULT	1	没有错误返回，但结果不明
ERR_COMMON_ERROR	2	一般错误
ERR_INVALID_TRADE_PARAMETERS	3	无效的交易参数
ERR_SERVER_BUSY	4	交易服务器繁忙
ERR_OLD_VERSION	5	MT4版本太旧
ERR_NO_CONNECTION	6	没有连接服务器
ERR_NOT_ENOUGH_RIGHTS	7	没有足够权限进行相应操作
ERR_TOO_FREQUENT_REQUESTS	8	请求过于频繁
ERR_MALFUNCTIONAL_TRADE	9	交易运行故障
ERR_ACCOUNT_DISABLED	64	账户被禁止
ERR_INVALID_ACCOUNT	65	无效的账户
ERR_TRADE_TIMEOUT	128	交易超时
ERR_INVALID_PRICE	129	无效价格
ERR_INVALID_STOPS	130	无效的止损价格
ERR_INVALID_TRADE_VOLUME	131	无效的下单量
ERR_MARKET_CLOSED	132	市场关闭
ERR_TRADE_DISABLED	133	交易被禁止
ERR_NOT_ENOUGH_MONEY	134	资金不足
ERR_PRICE_CHANGED	135	价格改变
ERR_OFF_QUOTES	136	开价
ERR_BROKER_BUSY	137	经纪繁忙
ERR_REQUOTE	138	重新开价
ERR_ORDER_LOCKED	139	定单被锁定
ERR_LONG_POSITIONS_ONLY_ALLOWED	140	只允许开多仓
ERR_TOO_MANY_REQUESTS	141	过多请求
ERR_TRADE_MODIFY_DENIED	145	因为价格过于接近市价，所以操作被拒绝
ERR_TRADE_CONTEXT_BUSY	146	交易文本已满
ERR_TRADE_EXPIRATION_DENIED	147	服务器禁止设定过期时间
ERR_TRADE_TOO_MANY_ORDERS	148	开单和挂单总数已被经纪限定
